player_name,over,min_runs,max_runs,avg_runs
AM Rahane,9,0,13,3.787878787878788
AM Rahane,10,0,12,3.0153846153846153
AM Rahane,11,0,11,3.3448275862068964
AM Rahane,12,0,11,3.877551020408163
AM Rahane,13,0,24,4.608695652173913
AM Rahane,14,0,12,3.4054054054054053
AM Rahane,15,0,13,3.967741935483871
AM Rahane,16,0,13,5.25
AM Rahane,17,0,11,4.444444444444445
AM Rahane,18,0,16,2.772727272727273
AM Rahane,19,0,12,4.142857142857143
AN Ahmed,16,0,1,0.5
AN Ahmed,17,1,3,2.0
AN Ahmed,18,2,5,3.5
AN Ahmed,19,0,12,4.25
AN Ghosh,2,2,2,2.0
AN Ghosh,3,1,1,1.0
AN Ghosh,4,4,4,4.0
AN Ghosh,12,0,0,0.0
AP Dole,14,1,1,1.0
AP Dole,15,1,1,1.0
AP Dole,16,6,6,6.0
AP Dole,17,0,6,3.0
AP Dole,18,4,11,7.5
AP Dole,19,5,5,5.0
AP Majumdar,1,1,1,1.0
AP Majumdar,3,8,8,8.0
AP Majumdar,4,0,2,1.0
AP Majumdar,5,10,10,10.0
AP Majumdar,6,1,2,1.5
AP Majumdar,7,2,4,3.0
AP Majumdar,8,1,1,1.0
AP Majumdar,9,3,5,4.0
AP Majumdar,10,2,16,6.666666666666667
AP Majumdar,11,1,4,2.6666666666666665
AP Majumdar,12,1,5,3.0
AP Majumdar,13,1,2,1.5
AP Majumdar,14,0,4,2.0
AP Majumdar,15,2,2,2.0
AP Tare,0,0,5,1.5384615384615385
AP Tare,1,0,10,3.0714285714285716
AP Tare,2,0,9,3.1818181818181817
AP Tare,3,0,10,3.6923076923076925
AP Tare,4,0,10,4.181818181818182
AP Tare,5,1,12,5.666666666666667
AP Tare,6,0,9,2.8333333333333335
AP Tare,7,1,3,2.0
AP Tare,8,5,8,6.5
AP Tare,9,0,3,1.0
AP Tare,10,12,12,12.0
AP Tare,11,6,6,6.0
AP Tare,12,2,2,2.0
AP Tare,14,6,8,7.0
AP Tare,15,2,4,3.0
AP Tare,16,1,4,2.5
AP Tare,17,3,15,9.0
AP Tare,18,0,9,4.5
AP Tare,19,0,2,1.0
AR Bawne,17,2,2,2.0
AR Bawne,18,4,4,4.0
AR Bawne,19,6,6,6.0
AR Patel,1,1,1,1.0
AR Patel,2,5,5,5.0
AR Patel,3,0,7,2.5
AR Patel,4,1,5,2.25
AR Patel,5,0,10,3.272727272727273
AR Patel,6,0,11,3.7857142857142856
AR Patel,7,0,9,3.2941176470588234
AR Patel,8,0,10,3.238095238095238
AR Patel,9,0,11,2.923076923076923
AR Patel,10,0,12,2.6296296296296298
AR Patel,11,0,13,2.75
AR Patel,12,0,14,2.7666666666666666
AR Patel,13,0,7,2.4411764705882355
AR Patel,14,0,13,4.815789473684211
AR Patel,15,0,12,3.1818181818181817
AR Patel,16,0,14,3.62
AR Patel,17,0,13,3.6792452830188678
AR Patel,18,0,16,4.0
AR Patel,19,0,20,4.390243902439025
AS Joseph,13,1,1,1.0
AS Joseph,14,2,2,2.0
AS Joseph,15,4,4,4.0
AS Joseph,16,0,1,0.5
AS Joseph,17,7,7,7.0
AS Joseph,18,0,2,0.5
AS Joseph,19,1,3,2.0
AS Rajpoot,14,1,1,1.0
AS Rajpoot,15,0,0,0.0
AS Rajpoot,16,1,1,1.0
